angle_deg,epsilon,ridge,budget,static,constructive,best_of_static_constructive,gain,epsilon_threshold
15,0.0,0.05,7.75,5.56562011425304e-08,4.5027401775781186e-08,4.5027401775781186e-08,1.2360518028483294,2.5454893562972576e-07
15,0.0,0.05,8.0,3.320538448561865e-08,2.6636201063963216e-08,2.6636201063963216e-08,1.2466261388356557,1.5571255461925997e-07
15,0.0,0.05,8.25,1.981086628629419e-08,1.5756787625740506e-08,1.5756787625740506e-08,1.2572909375214834,9.525240769435836e-08
15,0.0,0.05,8.5,1.1819481361024721e-08,9.32101224519545e-09,9.32101224519545e-09,1.268046972807821,5.826775527079884e-08
15,0.0,0.05,8.75,7.051692622864225e-09,5.513894794974139e-09,5.513894794974139e-09,1.2788950252173423,3.5643521822510166e-08
15,0.0,0.05,9.0,4.207153201436814e-09,3.2617740445212123e-09,3.2617740445212123e-09,1.2898358819500544,2.1803837045096347e-08
15,0.0,0.05,9.25,2.510055245880897e-09,1.9295199333889657e-09,1.9295199333889657e-09,1.3008703369403871,1.3337832067243568e-08
15,0.0,0.05,9.5,1.497539318326356e-09,1.1414178672489422e-09,1.1414178672489422e-09,1.3119991909148414,8.159011808288088e-09
15,0.0,0.05,9.75,8.934560359233513e-10,6.752118623552411e-10,6.752118623552411e-10,1.3232232514500581,4.991026523506682e-09
15,0.0,0.05,10.0,5.330502367176629e-10,3.9942519926035046e-10,3.9942519926035046e-10,1.3345433330314593,3.0531081860593827e-09
15,0.0,0.05,10.25,3.1802634202488253e-10,2.362821192857443e-10,2.362821192857443e-10,1.3459602571123126,1.8676457735272076e-09
15,0.0,0.05,10.5,1.897396291286108e-10,1.3977395516744171e-10,1.3977395516744171e-10,1.3574748521733744,1.1424753143397141e-09
15,0.0,0.05,10.75,1.1320171352046731e-10,8.268403297806688e-11,8.268403297806688e-11,1.3690879537829956,6.988744130186678e-10
15,0.0,0.05,11.0,6.753796243210634e-11,4.8912183255658104e-11,4.8912183255658104e-11,1.380800404657742,4.275150972656123e-10
15,0.0,0.05,11.25,4.029423431524213e-11,2.8934264387777263e-11,2.8934264387777263e-11,1.392613054723578,2.6151931588399183e-10
15,0.0,0.05,11.5,2.4040188074726227e-11,1.7116219312597337e-11,1.7116219312597337e-11,1.4045267611775067,1.5997646168749177e-10
15,0.0,0.05,11.75,1.4342762742350881e-11,1.0125191352045835e-11,1.0125191352045835e-11,1.4165423885498094,9.786071903378003e-11
15,0.0,0.05,12.0,8.557122866257381e-12,5.989611259543198e-12,5.989611259543198e-12,1.4286608087667438,5.986330881866234e-11
15,0.0,0.05,12.25,5.105317090131476e-12,3.5431866710546555e-12,3.5431866710546555e-12,1.4408829012138502,3.6619552544478156e-11
