case,angle,epsilon,ridge,budget,phase1_time,p1,p2,risk,lower_bound,margin
87,0.2960537038690366,0.31402750544998675,0.0598147747044131,20.649698272493097,12.956240781650319,0.2334322316307489,0.04072809154624779,0.008539756397392415,0.004946600615221703,0.0035931557821707117
88,1.228295996314393,0.0018944587172972194,0.18161776779610797,11.451275297806394,2.3805335471751383,0.4814094416738336,0.9313207750191627,2.8188764603454307e-05,8.303757802832307e-10,2.8187934227674024e-05
89,0.5326116185040022,1.015065019908298e-06,0.15715767703717518,1.6881705184057043,0.3740356205174325,0.9680822960813567,0.9829626194630681,0.02817920489809889,1.7537141766218428e-07,0.028179029526681228
90,1.3519633954541992,0.0010263287482892554,0.1211182061059494,5.738970181075154,3.701720821980972,0.440368952548318,0.2714024842696804,0.00037321763209066037,6.736922253069936e-08,0.00037315026286812965
91,0.3490188170977492,3.795145866162251e-05,0.16678004949368092,1.1336680235139076,1.0293843498789594,0.909977958984958,0.2995576471344884,0.04160367967908273,1.0721953312377213e-05,0.04159295772577035
92,0.6610620132175643,0.30311175204422275,0.16277515225604527,9.237881720736672,6.809834919274792,0.5721847906266699,0.9076408843164132,0.001507309780465326,0.0006665756653488057,0.0008407341151165203
93,0.10503524944292564,0.0001747066903537489,0.09133554032826091,15.438397386843919,4.750122415210683,0.34345262104944163,0.4368505860285983,1.2191438695901707e-05,4.728825196077939e-06,7.462613499823769e-06
94,1.1551243030338727,7.432775341533271e-06,0.11039036616890473,23.877747785635187,14.749968135084492,0.5309461275014686,0.9326513813280126,5.911953878342635e-10,2.0438308192437046e-15,5.911933440034443e-10
95,0.6173332660261712,0.002353825991617791,0.19771489090499703,10.229381737214599,3.868111224167769,0.2761574033229569,0.534238156607998,3.5964114268272975e-05,2.0739780923560847e-06,3.389013617591689e-05
96,0.1519894434194771,0.0284596174856896,0.011220712174171955,23.146360949306178,13.069126179736259,0.27498045589484266,0.45481096754626493,0.006955515318829693,0.0063336458044292105,0.0006218695144004829
97,0.83091761875714,0.00010922246359304953,0.17799628431760697,14.676075833900878,9.905604045878798,0.23509914709375146,0.3678023627588517,4.8700990703215265e-06,1.1201572841952542e-09,4.868978913037332e-06
98,0.9429656490546594,0.0007437375744945024,0.0055944132465238555,3.39577725372313,1.7461178501508634,0.07562839179818981,0.8970349117339327,0.009817667691443897,3.0425634480638433e-05,0.009787242056963259
99,0.6549625006653312,0.4154711408254736,0.12889555859593918,14.335423243690995,11.102594034071178,0.15289479203302847,0.9644424317163242,0.0012075155046488242,0.00016706329644712752,0.0010404522082016966
100,1.4194442264654883,0.687029078257995,0.1308644915985033,4.6120308991420815,4.458770355283972,0.47270854586604993,0.8274920329462707,0.0028145107754603653,4.649272396872275e-05,0.0027680180514916427
101,1.3233768549633234,0.005193070504759494,0.10526491168228674,24.377896652743082,4.837898932582311,0.2508589690581484,0.11794966286400632,1.2329808451731998e-06,9.313422040632639e-15,1.2329808358597778e-06
102,0.2215035296341474,0.05817326638075717,0.19048319240467426,1.72886537360593,0.23236885011440694,0.7086817109474758,0.12656460725556162,0.02372208284934037,0.013734755891254655,0.009987326958085716
103,0.6340146722668887,4.848425694032665e-06,0.01360680517810875,20.624690554242296,12.87501927862825,0.036005152827015996,0.7248007048035122,0.00448834641550022,1.6305509505384054e-08,0.004488330109990715
104,1.1112570539648525,0.010014888048896171,0.05679477321585724,14.379697867920742,1.038303143426912,0.15163619431118425,0.6353898272523248,1.280083229911394e-06,6.441208969618269e-08,1.2156711402152114e-06
105,1.4118439180891476,0.9854348714571347,0.06169408003203099,3.508226289523622,2.4016938191761192,0.9011830460228253,0.46178003141602153,0.06653775109753284,0.0004178644480608439,0.06611988664947199
106,1.1728275429428994,0.758239847916191,0.05289672847476517,19.21289955633955,7.530311283717422,0.9365232609596402,0.5832434273323102,2.3116806329229013e-05,5.785394661847864e-08,2.3058952382610535e-05
107,0.36094564532154116,2.0230541751643333e-06,0.0997502393654677,24.624840391445215,17.36004556556597,0.029637848889554896,0.9460455977058924,7.611079044803263e-05,1.331880730051659e-09,7.610945856730258e-05
108,0.41280351483084665,0.00023616885850546423,0.054223938597626226,24.898376851590818,10.048494847571593,0.7113983257881032,0.7790846886400962,6.218197620441745e-05,8.222379066077334e-07,6.135973829780972e-05
109,0.9524496556776035,0.00010001065248841093,0.060597042100331726,3.5071923459189396,1.618605856118779,0.6340122630439295,0.7722394056751043,0.0063527153536069355,2.5154162678491818e-06,0.0063501999373390865
110,0.18745616863832937,0.03254562821806631,0.05244953698472854,11.527782014209114,4.369808796018898,0.9765637327088331,0.18944638306828332,0.005361454270712946,0.0038303071440546023,0.0015311471266583436
111,0.49357583443305253,0.29358043721973376,0.014725530803295174,9.84165535903098,6.661046960890072,0.38557119431135156,0.7051867999088618,0.03719512825948334,0.026319159066069072,0.010875969193414266
112,0.29295204688279064,4.9527444853841245e-05,0.0894480092678947,3.4727685047274384,1.4124644296341735,0.6551842188364777,0.07175164554882008,0.0003007547347365925,1.0517943095098107e-05,0.0002902367916414944
113,0.6859608787145992,5.1910830974984934e-06,0.04375970979787676,15.245831694879028,14.837707784066387,0.37195677640677405,0.8175121883406778,5.6088416773237994e-05,1.3012953849350648e-08,5.607540381938864e-05
114,1.3500569724897749,2.3983283299899894e-06,0.06861302988057075,22.10807433277342,18.753062141765042,0.8351364420690369,0.7352505785103601,4.673835117330818e-06,8.766660377939149e-17,4.673835117243152e-06
115,0.6422031656958808,3.809606141482733e-06,0.12455874569606191,17.9267782948407,16.856555217610317,0.1940103474321544,0.9593480994443316,2.664815469836231e-05,3.9475501210840753e-10,2.6647759943350203e-05
116,0.7000234703896157,0.002137050690275626,0.03652475414000635,20.525409960433933,3.0480630937749473,0.3694127279974898,0.8096920432020288,3.5682839177031936e-05,1.1178774747036482e-06,3.456496170232829e-05
117,0.5624539250287818,6.405375585248916e-06,0.13684583357760524,23.51148589486859,3.242233286308668,0.7282956699906695,0.6671665857654278,6.607845413117025e-07,9.83020294753899e-11,6.606862392822272e-07
118,0.8787008342481141,0.007705126915745843,0.1715724783686694,22.672231395837155,0.44203625943937186,0.16962245216030303,0.35620777442099916,7.548518896236402e-09,1.7944730925834192e-10,7.36907158697806e-09
